step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
283,457432,2264,0.010693232032700265,0.75,0.8571428571428571,,,,,
284,459232,2272,0.013289362078806119,0.625,0.7692307692307693,,,,,
285,460968,2280,0.013476886503185246,0.625,0.8125,,,,,
286,462512,2288,0.01599462456463413,0.625,0.8421052631578947,,,,,
287,464440,2296,0.011996488430317984,0.625,0.8235294117647058,,,,,
288,465920,2304,0.015939145213733612,0.875,0.9333333333333333,,,,,
289,467464,2312,0.017172929220840537,0.5,0.7777777777777778,0.01365270889638073,0.75,0.8666666666666667,,
290,468816,2320,0.01704254708442915,0.625,0.7857142857142857,,,,,
291,471000,2328,0.01374624523082167,0.375,0.6875,,,,,
292,472864,2336,0.015450968835101553,0.625,0.8235294117647058,,,,,
293,474664,2344,0.011802428980166663,1.0,1.0,,,,,
294,476208,2352,0.01422648067572148,1.0,1.0,,,,,
295,477624,2360,0.018365774750447986,0.75,0.8666666666666667,,,,,
296,479808,2368,0.012027367169442825,0.5,0.75,,,,,
297,481288,2376,0.012959462117094077,0.875,0.9444444444444444,0.017097373586793897,0.5,0.75,,
298,482704,2384,0.015649269869145385,0.625,0.8333333333333334,,,,,
299,484056,2392,0.016344573105752342,0.625,0.8,,,,,
300,486624,2400,0.011601960186531887,0.625,0.8235294117647058,,,,,
301,488104,2408,0.018544247827282836,0.375,0.75,,,,,
302,489520,2416,0.017434643542080224,0.625,0.8125,,,,,
303,490744,2424,0.017691629133610953,0.5,0.6666666666666666,,,,,
304,492544,2432,0.01674957105082963,0.625,0.7857142857142857,,,,,
305,493960,2440,0.016560958352236612,0.75,0.8888888888888888,0.017360984683161624,0.5,0.7647058823529411,,
306,495184,2448,0.022231494642485115,0.375,0.7222222222222222,,,,,
307,496728,2456,0.01748963325284895,0.5,0.6923076923076923,,,,,
308,497952,2464,0.01886958696853087,0.75,0.9,,,,,
309,499432,2472,0.013070689731491213,0.875,0.9411764705882353,,,,,
310,500912,2480,0.01436221637128171,0.75,0.8666666666666667,,,,,
311,502200,2488,0.016985663626862782,0.75,0.8888888888888888,,,,,
312,504000,2496,0.015459850576776608,0.625,0.75,,,,,
313,505544,2504,0.01856772776686958,0.375,0.7222222222222222,0.017998197598204698,0.5,0.7647058823529411,,
314,507024,2512,0.018646132929515356,0.5,0.7647058823529411,,,,,
315,508760,2520,0.013998041239451421,0.625,0.8235294117647058,,,,,
316,510432,2528,0.013304576158302012,0.5,0.6923076923076923,,,,,
317,512104,2536,0.01548994837778628,0.625,0.7692307692307693,,,,,
318,513520,2544,0.021386743033674157,0.25,0.625,,,,,
319,515000,2552,0.015380576480523296,0.5,0.75,,,,,
320,516544,2560,0.015162544011162028,0.5,0.7777777777777778,,,,,
321,518280,2568,0.013763940831039144,0.75,0.8461538461538461,0.01495601820064262,0.5,0.7894736842105263,,
322,520912,2576,0.010392988553032076,0.75,0.8181818181818182,,,,,
323,522776,2584,0.014405543203655738,0.625,0.8125,,,,,
324,524320,2592,0.0142276286162741,0.75,0.8823529411764706,,,,,
325,526056,2600,0.012484083214620956,0.75,0.8461538461538461,,,,,
326,527472,2608,0.016133967710185406,0.75,0.8823529411764706,,,,,
327,528888,2616,0.013905570886769107,0.75,0.8333333333333334,,,,,
328,530304,2624,0.017517501209095697,0.375,0.7058823529411765,,,,,
329,531784,2632,0.015045341143771386,0.75,0.9047619047619048,0.01813979876530431,0.375,0.7058823529411765,,
330,533520,2640,0.013750690004940813,0.75,0.8823529411764706,,,,,
331,535128,2648,0.014126595278118935,0.75,0.875,,,,,
332,536672,2656,0.01793544258184971,0.625,0.8125,,,,,
333,538024,2664,0.01450087824885487,0.75,0.8181818181818182,,,,,
334,539440,2672,0.015216670712991319,0.625,0.7692307692307693,,,,,
335,540856,2680,0.012357183952669111,0.875,0.9333333333333333,,,,,
336,542208,2688,0.016419718423432116,0.875,0.9090909090909091,,,,,
337,543880,2696,0.017884176799715136,0.375,0.6842105263157895,0.01970127922636841,0.5,0.7647058823529411,,
338,545424,2704,0.019331467047507166,0.25,0.6666666666666666,,,,,
339,547096,2712,0.015458274822032245,0.625,0.8125,,,,,
340,548448,2720,0.018555216987889506,0.375,0.75,,,,,
341,550056,2728,0.014692426779516779,0.625,0.8421052631578947,,,,,
342,551344,2736,0.017039472383000465,0.75,0.8888888888888888,,,,,
343,553336,2744,0.015576496726422142,0.375,0.6666666666666666,,,,,
344,554752,2752,0.016295802984888325,0.625,0.8333333333333334,,,,,
345,556104,2760,0.01722357617572484,0.5,0.7777777777777778,0.015454602958802029,0.5,0.7647058823529411,,
346,557968,2768,0.01879289736210707,0.375,0.6666666666666666,,,,,
347,559832,2776,0.011293624883369097,0.625,0.8333333333333334,,,,,
348,562784,2784,0.009745639525320104,0.375,0.6875,,,,,
349,564520,2792,0.012293187906167765,1.0,1.0,,,,,
350,565936,2800,0.017892499983591718,0.5,0.7894736842105263,,,,,
351,567736,2808,0.013426775540648474,0.875,0.9411764705882353,,,,,
352,569536,2816,0.01229512394158881,0.75,0.8823529411764706,,,,,
353,571464,2824,0.013511579551348523,0.5,0.7142857142857143,0.010268808906568243,0.75,0.8571428571428571,,
354,572944,2832,0.014446784794342905,1.0,1.0,,,,,
355,574488,2840,0.014272291214473735,0.75,0.8823529411764706,,,,,
356,576864,2848,0.009669987756999373,0.75,0.8461538461538461,,,,,
357,578600,2856,0.01769179019153999,0.5,0.7647058823529411,,,,,
358,580400,2864,0.014928102173310856,0.625,0.7692307692307693,,,,,
359,582712,2872,0.01098017591758102,0.625,0.7692307692307693,,,,,
360,584064,2880,0.015344058427834543,0.625,0.8,,,,,
361,585288,2888,0.01575561666285682,0.875,0.9411764705882353,0.013163752431565848,1.0,1.0,,
362,587024,2896,0.014158797221831613,0.5,0.7647058823529411,,,,,
363,588632,2904,0.013718896865890761,0.5,0.8,,,,,
364,590496,2912,0.009493542735975462,1.0,1.0,,,,,
365,592168,2920,0.014650901636025077,0.625,0.8421052631578947,,,,,
366,593712,2928,0.01787113900805754,0.5,0.8095238095238095,,,,,
367,595384,2936,0.01387573861952001,0.875,0.9411764705882353,,,,,
368,597056,2944,0.014869645431861343,0.75,0.8666666666666667,,,,,
369,599048,2952,0.011787248788497094,0.625,0.8,0.02203360697055986,0.375,0.5454545454545454,,
370,600336,2960,0.016102497370541927,0.75,0.8888888888888888,,,,,
371,601816,2968,0.016148990637108618,0.75,0.8888888888888888,,,,,
372,604064,2976,0.009518572236153718,0.75,0.8823529411764706,,,,,
373,607080,2984,0.008250237347202512,0.875,0.9545454545454546,,,,,
374,608880,2992,0.013326827119118935,0.625,0.85,,,,,
375,610616,3000,0.010875095206297663,0.875,0.9375,,,,,
376,612160,3008,0.011801271534587215,1.0,1.0,,,,,
377,614856,3016,0.009941577243680545,0.625,0.8571428571428571,0.015183430027078587,0.875,0.9523809523809523,,
378,616976,3024,0.011073003699087832,0.5,0.75,,,,,
379,618776,3032,0.013503207173762351,0.625,0.7857142857142857,,,,,
380,621472,3040,0.012116969825562636,0.375,0.6153846153846154,,,,,
381,622952,3048,0.012946387929451271,1.0,1.0,,,,,
382,624176,3056,0.016832412205234758,0.5,0.7333333333333333,,,,,
383,625464,3064,0.0141450628441006,1.0,1.0,,,,,
